Date : 2023-11-25 18:08:50
Directory : f:\GITHUB\CppLeetNinjas
Total : 199 files,  5847 codes, 844 comments, 1136 blanks, all 7827 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C++      |        178 |      5,162 |        844 |        860 |      6,866 |
| Markdown |         21 |        685 |          0 |        276 |        961 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        199 |      5,847 |        844 |      1,136 |      7,827 |
| 0001两数之和                                                                                           |          1 |         19 |          1 |          2 |         22 |
| 0002两数相加                                                                                           |          2 |         68 |          0 |         12 |         80 |
| 0003无重复字符的最长子串                                                                                     |          1 |         17 |          3 |          3 |         23 |
| 0005最长回文子串                                                                                         |          1 |         27 |          0 |          1 |         28 |
| 0006N字形变换                                                                                          |          1 |         26 |          0 |          5 |         31 |
| 0007整数反转                                                                                           |          1 |         15 |          0 |          5 |         20 |
| 0008字符串转整数                                                                                         |          1 |         32 |          4 |          7 |         43 |
| 0009回文数                                                                                            |          1 |         14 |          0 |          2 |         16 |
| 0011盛最多水的容器                                                                                        |          1 |         16 |          0 |          4 |         20 |
| 0015三数之和                                                                                           |          3 |        203 |         12 |         73 |        288 |
| 0017电话号码的字母组合                                                                                      |          1 |         31 |          7 |          4 |         42 |
| 0018四数之和                                                                                           |          2 |         63 |          0 |         20 |         83 |
| 0019删除链表的倒数第 N 个结点                                                                                 |          1 |         27 |          0 |          2 |         29 |
| 0020有效的括号                                                                                          |          1 |         31 |          7 |          6 |         44 |
| 0024两两交换链表中的节点                                                                                     |          2 |         65 |          5 |          4 |         74 |
| 0027移除元素                                                                                           |          1 |         21 |          0 |          2 |         23 |
| 0028找出字符串中第一个匹配项的下标                                                                                |          1 |         32 |          2 |          5 |         39 |
| 0039组合总和                                                                                           |          1 |         28 |          7 |          4 |         39 |
| 0040组合总和II                                                                                         |          1 |         31 |          7 |          5 |         43 |
| 0046全排列                                                                                            |          1 |         28 |          7 |          3 |         38 |
| 0047全排列II                                                                                          |          2 |         60 |         14 |          9 |         83 |
| 0059螺旋矩阵 II                                                                                        |          1 |         39 |          4 |          5 |         48 |
| 0071简化路径                                                                                           |          1 |         29 |          0 |          3 |         32 |
| 0072编辑距离                                                                                           |          1 |         23 |          0 |          3 |         26 |
| 0073矩阵置零                                                                                           |          2 |         52 |          0 |          8 |         60 |
| 0074搜索二维矩阵                                                                                         |          2 |         70 |          0 |          9 |         79 |
| 0075颜色分类                                                                                           |          1 |         24 |          0 |          1 |         25 |
| 0077组合                                                                                             |          1 |         23 |          7 |          3 |         33 |
| 0078子集                                                                                             |          1 |         20 |          7 |          3 |         30 |
| 0079单词搜索                                                                                           |          2 |         82 |          7 |         17 |        106 |
| 0080删除有序数组中的重复项 II                                                                                 |          1 |         16 |          5 |          4 |         25 |
| 0081搜索旋转排序数组 II                                                                                    |          1 |         31 |          0 |          4 |         35 |
| 0082删除排序链表中的重复元素 II                                                                                |          2 |         59 |          6 |          6 |         71 |
| 0083删除排序链表中的重复元素                                                                                   |          1 |         24 |          0 |          3 |         27 |
| 0086分隔链表                                                                                           |          1 |         29 |          0 |          6 |         35 |
| 0088合并两个有序数组                                                                                       |          1 |         14 |          0 |          1 |         15 |
| 0090子集II                                                                                           |          1 |         22 |          7 |          5 |         34 |
| 0091解码方法                                                                                           |          1 |         21 |          0 |          3 |         24 |
| 0092反转链表 II                                                                                        |          1 |         28 |          1 |          6 |         35 |
| 0093复原IP地址                                                                                         |          1 |         44 |          7 |          8 |         59 |
